op_count_g,time_aware_group_id,num_ops,first_op_idx,last_op_idx,group_time_s,group_peak_memory_gb_est_sum,group_peak_memory_gb_est_max,job_names
2,2,1,2,2,22.550449412316084,5.707603454589844,5.707603454589844,mobilenet_v2_sub_model_2
2,3,1,3,3,190.91123869083822,13.235649108886719,13.235649108886719,mobilenet_v2_sub_model_3
2,4,2,4,5,170.0351065080613,13.942665100097656,7.729244232177734,mobilenet_v2_sub_model_4;mobilenet_v2_sub_model_5
2,5,1,8,8,149.25399302318692,15.285148620605469,15.285148620605469,mobilenet_v2_sub_model_8
2,6,2,9,10,145.40095224231482,26.599788665771484,13.934524536132812,mobilenet_v2_sub_model_9;mobilenet_v2_sub_model_10
2,7,1,11,11,454.98756063356996,25.070873260498047,25.070873260498047,mobilenet_v2_sub_model_11
2,8,1,12,12,41.64965530112386,10.672889709472656,10.672889709472656,mobilenet_v2_sub_model_12
2,9,1,13,13,305.8122110776603,26.27075958251953,26.27075958251953,mobilenet_v2_sub_model_13
2,10,1,14,14,42.69314934313297,10.637760162353516,10.637760162353516,mobilenet_v2_sub_model_14
2,11,1,15,15,168.22418362647295,24.565471649169922,24.565471649169922,mobilenet_v2_sub_model_15
2,12,1,16,16,4.144616633653641,8.316020965576172,8.316020965576172,mobilenet_v2_sub_model_16
2,13,1,17,17,447.1619139481336,24.447032928466797,24.447032928466797,mobilenet_v2_sub_model_17
2,14,2,18,19,118.75602980703115,20.057586669921875,10.699748992919922,mobilenet_v2_sub_model_18;mobilenet_v2_sub_model_19
2,15,3,20,22,160.69833084754646,26.977619171142578,9.321723937988281,mobilenet_v2_sub_model_20;mobilenet_v2_sub_model_21;mobilenet_v2_sub_model_22
2,16,3,23,25,98.46781469136477,26.767425537109375,9.93880844116211,mobilenet_v2_sub_model_23;mobilenet_v2_sub_model_24;mobilenet_v2_sub_model_25
2,17,3,26,28,147.65630404651165,27.13235092163086,9.353240966796875,mobilenet_v2_sub_model_26;mobilenet_v2_sub_model_27;mobilenet_v2_sub_model_28
2,18,3,29,31,98.57655811309814,26.541973114013672,9.4967041015625,mobilenet_v2_sub_model_29;mobilenet_v2_sub_model_30;mobilenet_v2_sub_model_31
2,19,3,32,34,150.6594426818192,27.30889129638672,9.420665740966797,mobilenet_v2_sub_model_32;mobilenet_v2_sub_model_33;mobilenet_v2_sub_model_34
2,20,5,35,39,130.9160319995135,44.020599365234375,9.490253448486328,mobilenet_v2_sub_model_35;mobilenet_v2_sub_model_36;mobilenet_v2_sub_model_37;mobilenet_v2_sub_model_38;mobilenet_v2_sub_model_39
2,21,5,40,44,81.19201184809208,44.09425354003906,9.519878387451172,mobilenet_v2_sub_model_40;mobilenet_v2_sub_model_41;mobilenet_v2_sub_model_42;mobilenet_v2_sub_model_43;mobilenet_v2_sub_model_44
2,22,3,45,47,113.56140226870775,26.97354507446289,9.564838409423828,mobilenet_v2_sub_model_45;mobilenet_v2_sub_model_46;mobilenet_v2_sub_model_47
2,23,4,48,51,107.86291214823723,36.594451904296875,9.593521118164062,mobilenet_v2_sub_model_48;mobilenet_v2_sub_model_49;mobilenet_v2_sub_model_50;mobilenet_v2_sub_model_51
2,24,5,52,56,77.29549100622535,44.558658599853516,9.641105651855469,mobilenet_v2_sub_model_52;mobilenet_v2_sub_model_53;mobilenet_v2_sub_model_54;mobilenet_v2_sub_model_55;mobilenet_v2_sub_model_56
2,25,3,57,59,114.57914439961314,27.129764556884766,9.608917236328125,mobilenet_v2_sub_model_57;mobilenet_v2_sub_model_58;mobilenet_v2_sub_model_59
2,26,3,60,62,167.30558026395738,32.01321792602539,13.578521728515625,mobilenet_v2_sub_model_60;mobilenet_v2_sub_model_61;mobilenet_v2_sub_model_62
2,27,4,63,66,118.24894825555384,40.98756408691406,14.103885650634766,mobilenet_v2_sub_model_63;mobilenet_v2_sub_model_64;mobilenet_v2_sub_model_65;mobilenet_v2_sub_model_66
2,28,2,67,68,130.12240882776678,23.010986328125,14.161128997802734,mobilenet_v2_sub_model_67;mobilenet_v2_sub_model_68
2,29,4,69,72,119.61032399348915,41.414432525634766,14.295421600341797,mobilenet_v2_sub_model_69;mobilenet_v2_sub_model_70;mobilenet_v2_sub_model_71;mobilenet_v2_sub_model_72
