g,job_id,start_op,end_op,num_ops,sum_op_time_s,max_op_time_s,sum_op_mem_gb,max_op_mem_gb,actual_time_s,actual_mem_gb
2,71,141,142,2,5.321585006895475,2.706083338940516,9.327445983886719,4.663722991943359,1.196583315031603,3.1915740966796875
2,72,143,144,2,5.253785780980252,2.643746856017969,9.32773208618164,4.663928985595703,1.0985289019881748,3.1915740966796875
2,73,145,146,2,29.571253593079746,26.945987705141306,9.339557647705078,4.675628662109375,0.8817502210149541,0.0
2,74,147,148,2,7.349000023095868,4.1901026100385925,9.311103820800781,4.655555725097656,1.2573142379987985,3.057659149169922
2,75,149,150,2,43.93538038304541,30.33025460899808,11.762752532958984,7.086788177490234,45.92477239004802,7.487880706787109
2,76,151,152,2,5.35965899983421,2.6841855429811403,9.3597412109375,4.68377685546875,2.330722732003778,3.14297866821289
2,77,153,154,2,16.388057285919785,13.620637079933658,9.366680145263672,4.683795928955078,2.421069870062638,3.2957801818847656
2,78,155,156,2,6.521612295997329,3.739606763003394,9.366283416748047,4.683380126953125,2.4675699350191276,3.295551300048828
2,79,157,158,2,7.668627667939289,3.8512401760090134,9.366790771484377,4.683395385742188,3.2350860810256568,3.294960021972656
2,80,159,160,2,6.340861795004457,3.8024516029981896,9.368743896484377,4.685348510742188,25.09845873696031,7.6545562744140625
2,81,161,162,2,47.64287011290435,42.639389411895536,10.30704116821289,5.6216888427734375,1.179916334047448,3.128612518310547
2,82,163,164,2,8.43637710204348,4.252019772073254,9.443534851074219,4.721767425537109,1.167548753961455,3.1286163330078125
2,83,165,166,2,8.41484452097211,4.290053559001535,9.443534851074219,4.721767425537109,0.7825029200175777,0.0
2,84,167,168,2,7.3093396900221705,4.255579284043051,9.44406509399414,4.722297668457031,1.1778894529561512,3.05678939819336
2,85,169,170,2,7.4464615259785205,4.431870656087995,9.447036743164062,4.723518371582031,12.354703857970888,3.935382843017578
4,1,1,4,4,18.563833558000624,7.418433913961053,6.2991180419921875,1.7377815246582031,11.918406151933596,2.337993621826172
4,2,5,8,4,16.22399369010236,5.274641711032018,6.968208312988281,1.8658370971679688,43.485199978924356,4.756404876708984
4,3,9,12,4,43.125648509245366,34.799867353984155,13.699569702148438,3.867500305175781,27.88107729190961,3.699726104736328
4,4,13,16,4,10.58110375807155,2.6850606669904664,13.283187866210938,3.3382606506347656,68.22671718103811,9.662540435791016
4,5,17,20,4,65.31848118815105,30.294054273050275,16.261306762695312,6.096927642822266,5.248734782915562,4.241813659667969
4,6,21,24,4,33.22198288689833,14.034767498844303,14.293601989746094,3.5796661376953125,66.29099058813881,8.142288208007812
4,7,25,28,4,13.088942850008607,3.89845929807052,14.084739685058594,3.588970184326172,12.059398155892266,4.650394439697266
4,8,29,32,4,15.021623127046041,5.1055972799658775,14.115966796875,3.545246124267578,27.97518363094423,5.914638519287109
4,9,33,36,4,56.20332651794888,43.329791427007876,16.405536651611328,5.003383636474609,42.3913455249276,5.880241394042969
4,10,37,40,4,16.06492838182021,4.466635019052774,15.265239715576172,3.818538665771485,25.97120436502155,3.6117477416992183
4,11,41,44,4,31.588367140851915,21.504925352870487,16.678810119628906,5.073654174804688,56.56797291408293,9.382682800292969
4,12,45,48,4,14.249672448844649,3.9730669650016353,15.878955841064453,3.9732627868652335,16.07770432101097,3.9139251708984375
4,13,49,52,4,47.11697726196144,35.201854881015606,16.61302947998047,4.688163757324219,66.59690221992787,8.539356231689453
4,14,53,56,4,10.903331105713733,2.881841220892966,16.181625366210938,4.047645568847656,12.001680215005763,3.945354461669922
4,15,57,60,4,35.282764083123766,27.378891744068824,16.209548950195312,4.052520751953125,28.498811907018535,6.299831390380859
